16310	蚂蚁借呗 今天 的 还款 记录	我 是 说 借呗 还款 记录	1
62901	花呗 额度 打不开	花呗 体验 额度 打不开 怎么办	0
87794	我 怎么 没有 蚂蚁花呗	怎么 没有 花呗	1
47497	借呗 ， 利息	借呗 的 利息 是 一年 多少	1
90333	花呗 的 钱 需要 利息 吗	花呗 晚 五天 还会 有 利息 吗	0
44825	花呗 不能 用 ， 我 没 逾期 他 说 微贷 逾期	我 的 花呗 没有 逾期 过 为啥 不 可以 用	0
22963	使用 借呗 没 公积金 怎样 提额	没有 公积金 可否 使用 蚂蚁借呗	0
40704	子 账户 能 不能 使用 借呗 提现	借呗 * * * 万能 不能 提现	0
62376	我要 关闭 蚂蚁借呗	蚂蚁借呗 怎么 关闭	1
65781	网商贷 怎么 变 借呗	借呗 如何 切换 网商货	0
15382	主动 帮助 朋友 还 花呗	帮 朋友 还 花呗	1
23690	蚂蚁借呗 还款日期 是 怎么 算 的	借呗 分 两次 借钱 还 还款 时 也 是 分 两个 日期 还款 吗	0
46227	花呗 还有 额度 不能 使用	我 花呗 变黑 了 。 不能 使用 了	0
93624	为什么 没用 蚂蚁借呗 了	为什么 借呗 还 了 就 不能 用 了	0
5841	银行卡 已经 扣钱 了 ， 为什么 花呗 还 没 还 上	我 还款 蚂蚁花呗 还 了 * * * 为什么 没有 还款 上 ， 但是 我 银行卡 的 金额 却 少 了	1
4755	花呗 在 那 充值 话费	蚂蚁借呗 可以 充值 话费 吗	0
13544	未 开通 花呗 额度 为什么 少 了	花呗 额度 可以 提升 么	0
5246	用 花呗 消费 之后 还 完 了 款项 ， 后续 产生 的 退款 怎么办	花呗 已经 返 了 ， 花呗 购买 的 东西 退款 怎么办	1
18893	支付宝 花呗 授权 有 什么 好处	用 花呗 有 什么 惊喜	0
29055	我 可以 用卡 里面 的 钱 转入 花呗 吗	用 蚂蚁花呗 额度 兑换 提现 积分 可以 转卡 吗	0
66686	使用 花呗 支付 后 退款	花呗 退款 到 哪里	0
100639	为什么 花呗 额度 完 了 还 可以 用	花呗 临时 额度 用过 还 能 再 用 吗	0
65462	怎样 切换 支付宝 花呗 账号	花呗 账户 怎么 切换 手机号	0
60723	我 怎么 才能 还 花呗 里 的 钱 呀 ， 我 支护 宝 没 开通	我 在 淘宝 上用 花呗 买 了 东西 ， 支付宝 上 却 没有 开通 ， 马上 怎么 还款 [ 流泪 ]	1
84154	花呗 为什么 金额 下降 了	为什么 蚂蚁花呗 自动 降低 额度	1
80532	频繁 用 借呗   是否 会 影响 银行贷款	使用 借呗 会 影响 银行贷款 吗	1
33933	我 的 花呗 改 不到 手机号码	手机号 变更 ， 花呗 用 不了	0
20382	无法 绑定 花呗 的 银行卡	为什么 我 的 蚂蚁花呗 绑定 不了 银行卡	0
63893	花呗 这样 可以 增加 额度	花呗 额度 怎么 提升	0
31059	花呗 充值 游戏 点卷	用 花呗 充值 游戏 点券	1
2831	干嘛 我 的 借呗 自动 关 了	借呗 还款日 不会 自动 还 钱 的	0
54099	第一次 使用 蚂蚁借呗   有 免息 吗	借呗 有 使用 期限	0
9047	蚂蚁借呗 没钱 还 怎么办 可不可以 分期 还	借呗 使用 中 可以 更换 分期 么	0
8367	是 退 到 花呗 里 了 不是 余额 里面	钱 是 退 到 我 的 花呗 账户 里面 去 了 ， 对 吧	0
89684	为什么 蚂蚁花呗 脸部 识别 总是 不 通过	花呗 为什么 要 用 人脸识别	0
67547	我 已经 用 花呗 付款 了 ， 卖家 怎么 看不到 我 已经 付款 了	顾客 花呗 付款 卖家 收不到 钱	1
20065	借呗 的 还款 期限 是	蚂蚁借呗 第一次 还款日 是 哪天	1
76877	花呗 怎么 试用 扫一扫	我 不用 花呗 怎么 退 这个	0
20303	花呗 就是 重复 扣 我 的 款 了	花呗 扣款 扣错 了	0
35210	借呗 今天 有 活动 吗	借呗 有 活动 吗	1
40570	我 的 花呗 为什么 不 可以 用 呀	我 的 花呗 不能 使用   请 帮 我查 下 是 什么 原因	0
63154	花呗 账单 明细 怎么 删除 交易 账单	怎么 删除 蚂蚁花呗 账单 信息 呀	0
64643	借呗 还 钱 怎么 用 不了	我 的 借呗 开通 怎么 用 不了	0
59745	花呗 限额 度 怎么回事	为什么 我 的 花呗 刷机 限额	0
9407	还 花呗 好友 代付	花呗 可以 找人 代付 么	1
54849	刚开 的 花呗 怎么 关闭	花呗 支付 的 订单 怎么 取消	0
11158	蚂蚁借呗 算是 贷款 吗	蚂蚁借呗 信用 记录	0
30800	淘宝 跟 借呗 有关 吗	淘宝 消费 和 蚂蚁借呗	1
74020	我 想 还 花呗 的 钱 ， 但是 还 不了 是 怎么回事	我 花呗 上 的 钱 回不来 了 对 吗	0
44954	花呗 还款 逾期 利率	花呗 有 逾期 利息 ， 但 不 知道 怎么 还	0
10733	我 的 花呗 额度 超支 了 ， 为什么 还 能 用	现在 这 情况 我 还清 花呗 ， 还 能 用 吗	0
96715	怎么 能 让 借呗 里 的 钱 借 不 出来	借呗 还 进去 再 借出来 怎么 少 了 那么 多	0
25637	芝麻信用 和 和 花呗 怎么 重新 授权	花呗 怎么 作 授权人 脉 任务	0
77786	如果 我 还 掉 蚂蚁借呗 ， 关闭	蚂蚁借呗 关闭 后 再 打开 时 还有 记录 吗	0
57224	如何 解除 花呗 冻结	我 的 花呗 冻结 了 * * *	0
60407	蚂蚁借呗 到期 后能 办 分期 吗	借呗 分期 还有 最低 还款 吗	0
99522	借呗 每天 什么 时候 开始 抢 名额	借呗 每天 多少 个 名额	0
59571	我 也 在 想 是不是 我 不用 借呗 ， 你们 赚 不到 钱 ， 所以 花呗 就 不 给 我 提额	再说 了 ， 我 花呗 用 的 次数 也 很多 了	0
101530	怎么 除消 花呗	花呗 怎么 在 电脑 还款	0
87719	蚂蚁借呗 是否 有 灵活 还款 服务 包	蚂蚁借呗 是 月 月 还款 么	0
98314	月底 自动 还 借呗 余额宝 的 钱 不够 银行卡 里 的 钱 又 转不进 怎么办	我 的 蚂蚁借呗 每月 还款 * * * ， 我 把 钱 转入 余额宝 为什么 不 自动 扣款	0
85113	我 的 新 号码 里 咋 没有 花呗	我 的 花呗 款 还好 没有	0
84389	蚂蚁借呗 收不到 还款 提醒	借呗 刚 还款 ， 又 收 一条 还款 提醒	0
32179	花呗 没 还 影响 大 吗	花呗 * * * 号 还 会 不会 影响 信用	0
4155	刚才 兑换 的 花呗 红包 在 哪里	花呗 * * * 抽中 的 红包 放在 哪里	1
45307	我 的 借呗 是 为什么 不能 开通	和 借呗 有 什么 区别	0
88770	双 * * * 我 的 花呗 额度 提到 * * * 元	双 * * * 花呗 零时 额度 有效期 到 几号	0
99295	我 很久没 有用 花呗 里 的 钱 了	在 花呗 里 的 钱 没有用完 怎么办	0
74921	蚂蚁借呗 的 还款日期 最高 几个 月	蚂蚁借呗 每个 月 * * * 号 还款 ， 这个 月 七八 号 还 ， 然后 再 借 的话 是 几号 还	0
24129	意思 就是 用 不了 花呗 充值 呗	我 花呗 怎么 充 不了 话费 了	0
59320	我 那 花呗 的 钱 我 已经 还 完 了 ， 为什么 还 显示 下 月 应 还	我 的 银行卡 已经 扣钱 ， 为什么 花呗 还要 还 钱	0
8355	借呗 还款 时间 只有 * * * 个 月 ， * * * 个 月 的 没有 了 么	借呗 为什么 不 可以 * * * 个 月 或者 * * * 个 月 借款 了	1
30404	我 怎么 不会 开通 花呗	怎么 我 没有 花呗	0
41666	怎么 才能 让 我 的 店 支持 花呗 支付	怎么 取消 支付 花呗 手机短信	0
